base,timestamp,ticker,period,start,end,side,execution,ema_len,atr_len,multiplier,risk_per_trade,atr_stop_mult,take_profit_mult_enabled,take_profit_mult,fee_bps,slip_bps,warmup_override,CAGR,Sharpe,Sortino,MaxDrawdown,Exposure,NumTrades
AAPL_20251102_234642,2025-11-02T23:46:44,AAPL,5y,,,long_short,next_open,23,10,2.0,0.01,2.0,False,,1.0,2.0,0,0.010760304440591,0.3523394021112555,0.12787197145589,-0.0365295429176699,0.3829617834394904,25.0
AAPL_20251102_234707,2025-11-02T23:47:08,AAPL,5y,,,long_short,next_open,23,10,2.0,0.01,2.0,False,,1.0,2.0,0,0.010760304440591,0.3523394021112555,0.12787197145589,-0.0365295429176699,0.3829617834394904,25.0
AAPL_20251102_235057,2025-11-02T23:50:58,AAPL,5y,,,long_short,next_open,20,10,2.0,0.01,2.0,False,,1.0,2.0,0,0.009007021749303235,0.2763744767882161,0.11075414063449546,-0.04021607079957157,0.3662420382165605,25.0
