entry_time,exit_time,side,entry_px,exit_px,shares,pnl
2025-10-02 09:40:00-04:00,2025-10-02 09:54:00-04:00,short,254.4536397796631,255.65828011016848,-842.0,-1014.3071582855337
2025-10-02 11:28:00-04:00,2025-10-02 11:50:00-04:00,long,257.12782507629396,256.8679238220215,1606.0,-417.40141436155386
2025-10-02 12:04:00-04:00,2025-10-02 12:18:00-04:00,long,258.00256257629394,257.4527397796631,1558.0,-856.6239171508629
2025-10-02 14:30:00-04:00,2025-10-02 14:52:00-04:00,long,257.79263411865236,257.6877766693115,2905.0,-304.610890335143
2025-10-03 09:32:00-04:00,2025-10-03 09:34:00-04:00,short,254.82352389831544,256.1681216186524,-872.0,-1172.4892121338075
2025-10-03 11:42:00-04:00,2025-10-03 11:46:00-04:00,long,259.03225235595704,258.4324567626953,1755.0,-1052.641266174314
2025-10-03 13:46:00-04:00,2025-10-03 14:16:00-04:00,short,257.62270220336916,257.52772948303226,-2342.0,222.42611102901503
2025-10-03 14:26:00-04:00,2025-10-03 15:02:00-04:00,long,258.1925080169678,258.1425352203369,1925.0,-96.19763351442145
2025-10-06 09:40:00-04:00,2025-10-06 09:46:00-04:00,short,256.3530636779785,255.61329544067382,-867.0,641.3790617431765
2025-10-06 10:12:00-04:00,2025-10-06 10:32:00-04:00,long,258.09225733947756,257.58288871154787,800.0,-407.49490234375116
2025-10-06 11:40:00-04:00,2025-10-06 11:52:00-04:00,short,257.002862576294,257.2028147796631,-2445.0,-488.8831372374341
2025-10-06 13:16:00-04:00,2025-10-06 13:18:00-04:00,short,256.19310801696776,256.6529919830322,-1754.0,-806.6364764770753
2025-10-06 13:44:00-04:00,2025-10-06 14:18:00-04:00,short,255.91320849151612,255.96319654235842,-1657.0,-82.83020024569416
2025-10-06 15:44:00-04:00,2025-10-07 09:30:00-04:00,long,256.8329306610108,256.7429613220215,2642.0,-237.69899360974625
2025-10-07 10:44:00-04:00,2025-10-07 11:06:00-04:00,short,255.89090683441162,256.2630943389893,-1619.0,-602.57156991122
2025-10-07 13:56:00-04:00,2025-10-07 13:58:00-04:00,short,255.46333128814697,255.7982375,-2719.0,-910.6099900283727
2025-10-07 15:44:00-04:00,2025-10-07 15:58:00-04:00,long,256.4440397949219,256.20811816101076,3602.0,-849.789725347849
2025-10-08 09:32:00-04:00,2025-10-08 09:36:00-04:00,long,257.13783183898926,256.60039546203615,1611.0,-865.8100032714603
2025-10-08 09:52:00-04:00,2025-10-08 10:34:00-04:00,long,257.7465664001465,257.4977397033692,1006.0,-250.31965695797817
2025-10-08 11:06:00-04:00,2025-10-08 11:32:00-04:00,long,258.1525419830322,257.86762382202147,1859.0,-529.6628613189856
2025-10-08 12:12:00-04:00,2025-10-08 12:38:00-04:00,long,258.25248757629396,258.0425591186524,2654.0,-557.1501265807565
2025-10-08 15:26:00-04:00,2025-10-08 15:46:00-04:00,long,258.26249433898926,258.0225761016846,3339.0,-801.0869943602738
2025-10-09 09:34:00-04:00,2025-10-09 14:18:00-04:00,short,256.533002355957,253.62388694915774,-1656.0,4817.49511365962
2025-10-10 11:00:00-04:00,2025-10-10 12:32:00-04:00,short,251.5695107711792,248.8203357711792,-858.0,2358.792150000007
