Datetime,Open,High,Low,Close,Adj Close,Volume,KC_Middle,KC_Upper,KC_Lower,KC_Width,KC_ATR,KC_PercentB,long_entry,short_entry,long_exit,short_exit
2025-10-01 09:30:00-04:00,255.0399932861328,256.30999755859375,254.9499969482422,256.05999755859375,256.05999755859375,1578690,,,,,,,False,False,False,False
2025-10-01 09:32:00-04:00,256.05999755859375,256.5599060058594,255.8300018310547,256.2950134277344,256.2950134277344,478127,,,,,,,False,False,False,False
2025-10-01 09:34:00-04:00,256.2950134277344,257.4287109375,256.2950134277344,257.4231872558594,257.4231872558594,617544,,,,,,,False,False,False,False
2025-10-01 09:36:00-04:00,257.42999267578125,258.7900085449219,257.3999938964844,258.5299987792969,258.5299987792969,1034326,,,,,,,False,False,False,False
2025-10-01 09:38:00-04:00,258.5299987792969,258.7699890136719,257.8999938964844,258.04998779296875,258.04998779296875,565057,,,,,,,False,False,False,False
2025-10-01 09:40:00-04:00,258.0400085449219,258.44000244140625,257.6708984375,257.79998779296875,257.79998779296875,384479,,,,,,,False,False,False,False
2025-10-01 09:42:00-04:00,257.80999755859375,258.2300109863281,257.4901123046875,257.573486328125,257.573486328125,285125,,,,,,,False,False,False,False
2025-10-01 09:44:00-04:00,257.6000061035156,257.67999267578125,256.93499755859375,257.04168701171875,257.04168701171875,318856,,,,,,,False,False,False,False
2025-10-01 09:46:00-04:00,257.0400085449219,257.0599060058594,256.2799987792969,256.33990478515625,256.33990478515625,274694,,,,,,,False,False,False,False
2025-10-01 09:48:00-04:00,256.32000732421875,256.572509765625,255.42999267578125,255.4499969482422,255.4499969482422,394233,,,,,,,False,False,False,False
2025-10-01 09:50:00-04:00,255.41000366210938,255.88999938964844,255.27999877929688,255.83999633789062,255.83999633789062,329299,,,,,,,False,False,False,False
2025-10-01 09:52:00-04:00,255.83999633789062,256.1700134277344,255.72999572753906,256.1499938964844,256.1499938964844,240477,,,,,,,False,False,False,False
2025-10-01 09:54:00-04:00,256.1597900390625,256.29998779296875,255.9698944091797,255.97000122070312,255.97000122070312,201475,,,,,,,False,False,False,False
2025-10-01 09:56:00-04:00,255.9600067138672,256.4841003417969,255.86500549316406,256.3299865722656,256.3299865722656,245742,,,,,,,False,False,False,False
2025-10-01 09:58:00-04:00,256.3349914550781,256.5599060058594,256.239990234375,256.5050048828125,256.5050048828125,195215,,,,,,,False,False,False,False
2025-10-01 10:00:00-04:00,256.5150146484375,256.739990234375,256.29998779296875,256.6199951171875,256.6199951171875,195774,,,,,,,False,False,False,False
2025-10-01 10:02:00-04:00,256.6199951171875,256.625,256.03009033203125,256.239990234375,256.239990234375,141629,,,,,,,False,False,False,False
2025-10-01 10:04:00-04:00,256.2300109863281,256.5400085449219,256.20001220703125,256.3197937011719,256.3197937011719,105106,,,,,,,False,False,False,False
2025-10-01 10:06:00-04:00,256.319091796875,256.3299865722656,255.99000549316406,256.0350036621094,256.0350036621094,174438,,,,,,,False,False,False,False
2025-10-01 10:08:00-04:00,256.04998779296875,256.0899963378906,255.72999572753906,255.85009765625,255.85009765625,171701,256.32905067464145,257.64011434195476,255.01798700732817,2.622127334626583,0.6555318336566458,0.31734181553022384,False,False,False,False
2025-10-01 10:10:00-04:00,255.8800048828125,256.07989501953125,255.7801055908203,255.7949981689453,255.7949981689453,112770,256.28676009544694,257.5266752817711,255.0468449091228,2.47983037264828,0.61995759316207,0.30169533693691397,False,False,False,False
2025-10-01 10:12:00-04:00,255.7949981689453,255.80999755859375,255.43499755859375,255.65499877929688,255.65499877929688,196732,256.22452878148323,257.41545244917495,255.0336051137915,2.3818473353834406,0.5954618338458602,0.26088727697794745,False,False,False,False
2025-10-01 10:14:00-04:00,255.65699768066406,256.0950012207031,255.65699768066406,256.0544128417969,256.0544128417969,108717,256.19699942906146,257.35683121826526,255.03716763985767,2.319663578407585,0.5799158946018963,0.4385313505838324,False,False,False,False
2025-10-01 10:16:00-04:00,256.05120849609375,256.4700012207031,256.0249938964844,256.3399963378906,256.3399963378906,195103,256.2047452439152,257.3375953190424,255.07189516878805,2.265700150254361,0.5664250375635902,0.5596950545111692,False,False,False,True
2025-10-01 10:18:00-04:00,256.3500061035156,257.0299987792969,256.3500061035156,256.9800109863281,256.9800109863281,203895,256.26016683557856,257.41773239147426,255.10260127968286,2.315131111791402,0.5787827779478505,0.8109301875316102,False,False,False,False
2025-10-01 10:20:00-04:00,256.9855041503906,257.3299865722656,256.8901062011719,257.17999267578125,257.17999267578125,182808,256.34332826232406,257.47311333684894,255.2135431877992,2.2595701490497504,0.5648925372624376,0.8702759189879722,False,False,False,False
2025-10-01 10:22:00-04:00,257.17999267578125,257.2200012207031,256.625,256.7149963378906,256.7149963378906,146944,256.39190009634376,257.52770690755676,255.25609328513073,2.271613622426031,0.5679034056065078,0.6422320408528889,False,False,False,False
2025-10-01 10:24:00-04:00,256.7300109863281,256.82000732421875,256.5899963378906,256.66119384765625,256.66119384765625,138572,256.42032857954166,257.488556906899,255.35210025218433,2.136456654714692,0.534114163678673,0.6127405358695381,False,False,False,False
2025-10-01 10:26:00-04:00,256.6700134277344,256.6700134277344,256.1669921875,256.45001220703125,256.45001220703125,260512,256.42115499489535,257.4831647375638,255.35914525222685,2.1240194853369587,0.5310048713342397,0.513586133430099,False,False,False,False
2025-10-01 10:28:00-04:00,256.44000244140625,256.6698913574219,256.1614074707031,256.1614074707031,256.1614074707031,199403,256.41255948105857,257.470065026804,255.35505393531318,2.1150110914908,0.5287527728727,0.38125262729547865,False,False,True,False
