base,timestamp,ticker,period,start,end,side,execution,ema_len,atr_len,multiplier,risk_per_trade,atr_stop_mult,take_profit_mult_enabled,take_profit_mult,fee_bps,slip_bps,warmup_override,CAGR,Sharpe,Sortino,MaxDrawdown,Exposure,NumTrades
AAPL_20251102_235528,2025-11-02T23:55:30,AAPL,5y,,,long_short,next_open,20,10,2.0,0.01,2.0,False,,1.0,2.0,20,0.0090070217493032,0.2763744767882161,0.1107541406344954,-0.0402160707995715,0.3662420382165605,25.0
AAPL_20251103_001013,2025-11-03T00:10:14,AAPL,5y,,,long_short,next_open,20,10,2.0,0.01,2.0,False,,1.0,2.0,20,0.0090070217493032,0.2763744767882161,0.1107541406344954,-0.0402160707995715,0.3662420382165605,25.0
AAPL_20251103_001241,2025-11-03T00:12:43,AAPL,5y,,,long_short,next_open,20,10,2.0,0.01,2.0,False,,1.0,2.0,20,0.009007021749303235,0.2763744767882161,0.11075414063449546,-0.04021607079957157,0.3662420382165605,25.0
