entry_time,exit_time,side,entry_px,exit_px,shares,pnl
2025-09-25 14:20:00-04:00,2025-09-26 09:35:00-04:00,long,254.18371650848388,254.47363805084228,1249.0,362.1120064056411
2025-09-26 13:00:00-04:00,2025-09-26 13:55:00-04:00,long,256.253087576294,255.83821878814697,1383.0,-573.7635340073064
2025-09-29 09:35:00-04:00,2025-09-29 12:10:00-04:00,short,253.52392610168457,253.69396479644777,-1001.0,-170.20873345797008
2025-09-30 09:35:00-04:00,2025-09-30 09:40:00-04:00,long,255.16842161865236,254.21381306762697,1343.0,-1282.0392840270954
2025-09-30 13:15:00-04:00,2025-09-30 14:45:00-04:00,short,253.47892617797854,253.75354774627687,-1672.0,-459.1672621948062
2025-09-30 15:55:00-04:00,2025-10-01 10:45:00-04:00,long,254.88351871185304,255.4833295593262,1408.0,844.5336732421965
2025-10-02 09:40:00-04:00,2025-10-02 09:55:00-04:00,short,254.4536397796631,255.59329716949463,-808.0,-920.8431709838851
2025-10-02 12:05:00-04:00,2025-10-02 12:45:00-04:00,long,257.9425830169678,257.1628182373047,887.0,-691.6513595611543
2025-10-02 14:40:00-04:00,2025-10-02 15:10:00-04:00,long,258.06754551696775,257.5927124237061,1702.0,-808.1659247313786
2025-10-06 09:40:00-04:00,2025-10-06 09:50:00-04:00,short,256.3530636779785,256.13813183898924,-811.0,174.3097214203117
2025-10-06 13:45:00-04:00,2025-10-06 14:35:00-04:00,short,255.79323411865235,256.28307735595706,-1150.0,-563.3197229004181
2025-10-06 15:50:00-04:00,2025-10-07 09:45:00-04:00,long,257.002862576294,256.47302279663086,1696.0,-898.6082663086527
2025-10-09 09:35:00-04:00,2025-10-09 14:15:00-04:00,short,256.4930363220215,253.64388522033693,-1178.0,3356.2999977844393
2025-10-10 11:00:00-04:00,2025-10-10 15:45:00-04:00,short,253.03406761016848,246.83593066101076,-729.0,4518.441835935973
2025-10-10 15:55:00-04:00,2025-10-13 09:35:00-04:00,short,245.16643349151613,246.7059647796631,-931.0,-1433.3036292648337
2025-10-13 15:05:00-04:00,2025-10-13 15:25:00-04:00,short,248.10553867797853,248.47543805084229,-1690.0,-625.1299401397478
2025-10-14 09:30:00-04:00,2025-10-14 10:25:00-04:00,short,246.54102099151612,247.01586933898926,-1445.0,-686.1558620986896
2025-10-14 15:35:00-04:00,2025-10-14 15:40:00-04:00,long,248.62538694915773,248.3754619491577,1453.0,-363.14102500002735
2025-10-15 10:00:00-04:00,2025-10-15 11:25:00-04:00,long,250.674775,250.07494889831543,600.0,-359.8956610107507
2025-10-15 11:55:00-04:00,2025-10-15 12:10:00-04:00,short,248.72035966949463,249.64008183898926,-998.0,-917.8827251556443
2025-10-15 13:15:00-04:00,2025-10-15 13:40:00-04:00,short,247.73736303100586,248.88531871185305,-1033.0,-1185.838218315147
2025-10-15 15:55:00-04:00,2025-10-16 09:30:00-04:00,short,248.27550110168457,248.1955232711792,-1197.0,95.73346311491167
2025-10-16 09:35:00-04:00,2025-10-16 10:40:00-04:00,short,247.4357415084839,248.30549088134765,-673.0,-585.3413279373141
2025-10-16 12:35:00-04:00,2025-10-16 13:00:00-04:00,short,246.4760380508423,247.57569889831544,-801.0,-880.8283388259786
2025-10-16 14:20:00-04:00,2025-10-16 14:45:00-04:00,short,245.29638411865236,246.28609261016845,-839.0,-830.3654243820057
2025-10-17 09:35:00-04:00,2025-10-17 11:15:00-04:00,long,248.27550110168457,248.6653834915161,739.0,288.12308608550904
2025-10-17 12:40:00-04:00,2025-10-17 15:55:00-04:00,long,250.65477672882082,252.05436588134768,923.0,1291.8207877822895
2025-10-20 09:35:00-04:00,2025-10-20 13:35:00-04:00,long,258.3224738983154,262.9710727966309,446.0,2073.2751086486996
2025-10-21 09:40:00-04:00,2025-10-21 09:50:00-04:00,long,264.6605682373047,263.5969835998535,739.0,-785.9890470764262
2025-10-22 09:35:00-04:00,2025-10-22 14:25:00-04:00,short,260.23190455932615,256.94288301696776,-835.0,2746.3329878692625
2025-10-23 09:35:00-04:00,2025-10-23 13:10:00-04:00,long,259.0786556671143,259.87202720336916,823.0,652.9447743377671
2025-10-24 10:50:00-04:00,2025-10-24 14:55:00-04:00,long,261.9763761779785,263.4609465423584,897.0,1331.659616848737
2025-10-27 09:35:00-04:00,2025-10-27 11:00:00-04:00,long,266.0101693389893,265.32037389831544,736.0,-507.6894443359415
2025-10-27 14:55:00-04:00,2025-10-28 11:15:00-04:00,long,266.1001386779785,268.2844807373047,2708.0,5915.198296655306
2025-10-28 12:55:00-04:00,2025-10-28 13:15:00-04:00,long,269.6990647796631,268.9293067626953,1608.0,-1237.7708912841981
2025-10-29 09:40:00-04:00,2025-10-29 10:35:00-04:00,long,270.6387852203369,269.81902389831544,1013.0,-830.4182192077425
2025-10-29 13:25:00-04:00,2025-10-29 14:40:00-04:00,long,269.63908522033694,269.35917044067384,1406.0,-393.5601802063212
2025-10-29 15:35:00-04:00,2025-10-29 15:45:00-04:00,short,267.86962720336913,269.11333356933596,-887.0,-1103.167546612578
2025-10-30 12:15:00-04:00,2025-10-30 13:00:00-04:00,long,271.87840345764164,271.22851303405764,919.0,-597.2492992736935
2025-10-31 12:40:00-04:00,2025-10-31 13:00:00-04:00,long,272.96309992370607,271.55852264404297,749.0,-1052.0283824676628
2025-10-31 15:55:00-04:00,2025-10-31 15:55:00-04:00,short,270.385351751709,270.168925,-826.0,178.76849691161726
