entry_time,exit_time,side,entry_px,exit_px,shares,pnl
2021-09-08 00:00:00-04:00,2021-09-13 00:00:00-04:00,long,156.9329017288208,150.58481588134765,197.0,-1250.572911952212
2021-10-29 00:00:00-04:00,2021-11-11 00:00:00-05:00,long,147.17583522033692,148.91531871185302,200.0,347.8966983032194
2021-11-19 00:00:00-05:00,2022-01-06 00:00:00-05:00,long,157.60269889831542,172.64818694915772,173.0,2602.869432795717
2022-03-15 00:00:00-04:00,2022-03-21 00:00:00-04:00,short,150.85472389831543,163.4609415084839,-99.0,-1248.0155434066787
2022-03-25 00:00:00-04:00,2022-04-11 00:00:00-04:00,long,173.82784088134767,168.65939371185303,106.0,-547.855399966432
2022-04-27 00:00:00-04:00,2022-05-02 00:00:00-04:00,short,155.86323066101076,156.66299371185303,-109.0,-87.17417254180776
2022-05-12 00:00:00-04:00,2022-05-31 00:00:00-04:00,short,142.7271732711792,149.0252863220215,-81.0,-510.14715711822544
2022-06-14 00:00:00-04:00,2022-06-27 00:00:00-04:00,short,133.09006588134767,142.65718694915773,-95.0,-908.8765014419561
2022-07-22 00:00:00-04:00,2022-08-29 00:00:00-04:00,long,155.34338238983156,161.10164889831543,122.0,702.5085140350322
2022-09-07 00:00:00-04:00,2022-09-13 00:00:00-04:00,short,154.7735613220215,159.85202389831542,-131.0,-665.2785974945048
2022-09-30 00:00:00-04:00,2022-10-24 00:00:00-04:00,short,141.2376147796631,147.14584544067384,-95.0,-561.2819127960211
2022-12-20 00:00:00-05:00,2023-01-12 00:00:00-05:00,short,131.35058238983154,133.83984088134767,-106.0,-263.86140010070926
2023-02-03 00:00:00-05:00,2023-02-22 00:00:00-05:00,long,147.9855897796631,148.82533411865234,127.0,106.64753105163459
2023-03-22 00:00:00-04:00,2023-08-03 00:00:00-04:00,long,159.2522130508423,191.5125363220215,139.0,4484.184934693909
2023-09-05 00:00:00-04:00,2023-09-07 00:00:00-04:00,long,188.2235147796631,175.12743867797852,162.0,-2121.564328472903
2023-10-27 00:00:00-04:00,2023-11-02 00:00:00-04:00,short,166.85993066101074,175.46734827117922,-149.0,-1282.505223915104
2023-11-08 00:00:00-05:00,2023-12-27 00:00:00-05:00,long,182.29530110168457,192.4322584915161,145.0,1469.8588215255727
2024-03-05 00:00:00-05:00,2024-03-19 00:00:00-04:00,short,170.7087665084839,174.28769433898927,-150.0,-536.8391745758047
2024-05-06 00:00:00-04:00,2024-07-25 00:00:00-04:00,long,182.29530110168457,218.86431367797852,108.0,3949.4533582397457
2024-12-02 00:00:00-05:00,2025-01-03 00:00:00-05:00,long,237.1988232711792,243.28699261016845,145.0,882.7845541534407
2025-03-12 00:00:00-04:00,2025-03-26 00:00:00-04:00,short,220.07395738983155,223.4429415084839,-71.0,-239.1978724243168
2025-04-04 00:00:00-04:00,2025-04-15 00:00:00-04:00,short,193.83183238983156,201.79944261016846,-69.0,-549.7651052032456
2025-08-11 00:00:00-04:00,2025-09-11 00:00:00-04:00,long,227.85162216949465,226.81194088134765,87.0,-90.45227206878849
2025-09-22 00:00:00-04:00,2025-10-13 00:00:00-04:00,long,248.2255130508423,249.30519088134767,105.0,113.36617220306437
2025-10-21 00:00:00-04:00,2025-10-31 00:00:00-04:00,long,261.8014408813477,270.28888411865233,92.0,780.8447778320287
