Date,Open,High,Low,Close,Adj Close,Volume,KC_Middle,KC_Upper,KC_Lower,KC_Width,KC_ATR,KC_PercentB,long_entry,short_entry,long_exit,short_exit
2020-11-02 00:00:00+00:00,13737.0322265625,13808.3232421875,13243.16015625,13550.4892578125,13550.4892578125,30771455468,,,,,,,False,False,False,False
2020-11-03 00:00:00+00:00,13550.451171875,13984.9814453125,13325.44140625,13950.30078125,13950.30078125,29869951617,,,,,,,False,False,False,False
2020-11-04 00:00:00+00:00,13950.48828125,14218.7666015625,13580.4716796875,14133.70703125,14133.70703125,35116364962,,,,,,,False,False,False,False
2020-11-05 00:00:00+00:00,14133.7333984375,15706.404296875,14102.0888671875,15579.8486328125,15579.8486328125,40856321439,,,,,,,False,False,False,False
2020-11-06 00:00:00+00:00,15579.7294921875,15903.4375,15226.83984375,15565.880859375,15565.880859375,39837841971,,,,,,,False,False,False,False
2020-11-07 00:00:00+00:00,15565.880859375,15737.095703125,14423.203125,14833.75390625,14833.75390625,35024953706,,,,,,,False,False,False,False
2020-11-08 00:00:00+00:00,14833.75390625,15637.3203125,14744.1103515625,15479.5673828125,15479.5673828125,26632075029,,,,,,,False,False,False,False
2020-11-09 00:00:00+00:00,15479.595703125,15785.13671875,14865.529296875,15332.3154296875,15332.3154296875,34149115566,,,,,,,False,False,False,False
2020-11-10 00:00:00+00:00,15332.3505859375,15450.3291015625,15124.9599609375,15290.90234375,15290.90234375,25574938143,,,,,,,False,False,False,False
2020-11-11 00:00:00+00:00,15290.9091796875,15916.2607421875,15290.0068359375,15701.33984375,15701.33984375,29772374934,,,,,,,False,False,False,False
2020-11-12 00:00:00+00:00,15701.298828125,16305.00390625,15534.771484375,16276.34375,16276.34375,34175758344,,,,,,,False,False,False,False
2020-11-13 00:00:00+00:00,16276.4404296875,16463.177734375,15992.15234375,16317.80859375,16317.80859375,31599492172,,,,,,,False,False,False,False
2020-11-14 00:00:00+00:00,16317.80859375,16317.80859375,15749.193359375,16068.138671875,16068.138671875,27481710135,,,,,,,False,False,False,False
2020-11-15 00:00:00+00:00,16068.1396484375,16123.1103515625,15793.5341796875,15955.587890625,15955.587890625,23653867583,,,,,,,False,False,False,False
2020-11-16 00:00:00+00:00,15955.5771484375,16816.181640625,15880.7060546875,16716.111328125,16716.111328125,31526766675,,,,,,,False,False,False,False
2020-11-17 00:00:00+00:00,16685.69140625,17782.919921875,16564.544921875,17645.40625,17645.40625,39006849170,,,,,,,False,False,False,False
2020-11-18 00:00:00+00:00,17645.19140625,18393.94921875,17352.90625,17804.005859375,17804.005859375,49064800278,,,,,,,False,False,False,False
2020-11-19 00:00:00+00:00,17803.861328125,18119.546875,17382.5546875,17817.08984375,17817.08984375,36985055355,,,,,,,False,False,False,False
2020-11-20 00:00:00+00:00,17817.083984375,18773.2265625,17765.794921875,18621.314453125,18621.314453125,36992873940,,,,,,,False,False,False,False
2020-11-21 00:00:00+00:00,18621.31640625,18936.62109375,18444.359375,18642.232421875,18642.232421875,39650210707,16292.49594122453,17806.130378920257,14778.8615035288,3027.268875391457,756.8172188478643,1.0,False,False,False,False
2020-11-22 00:00:00+00:00,18642.232421875,18688.96875,17671.384765625,18370.001953125,18370.001953125,41280434226,16478.301263290447,18044.0890540916,14912.51347248929,3131.57558160231,782.8938954005775,1.0,False,False,False,False
2020-11-23 00:00:00+00:00,18370.017578125,18711.42578125,18000.796875,18364.12109375,18364.12109375,42741112308,16657.394595358022,18208.729388329062,15106.059802386982,3102.6695859420797,775.6673964855199,1.0,False,False,False,False
2020-11-24 00:00:00+00:00,18365.015625,19348.271484375,18128.65625,19107.46484375,19107.46484375,51469565009,16867.30598558186,18507.430346130797,15227.181625032925,3280.2487210978725,820.0621802744681,1.0,False,False,False,False
2020-11-25 00:00:00+00:00,19104.41015625,19390.96484375,18581.146484375,18732.12109375,18732.12109375,43710357371,17061.030254316127,18699.10585068517,15422.954657947084,3276.1511927380852,819.0377981845213,1.0,False,False,False,False
2020-11-26 00:00:00+00:00,18729.83984375,18866.28515625,16351.03515625,17150.623046875,17150.623046875,61396835737,17098.644622456653,19075.962659188794,15121.326585724515,3954.6360734642785,988.6590183660696,0.5131436682042938,False,False,False,False
2020-11-27 00:00:00+00:00,17153.9140625,17445.0234375,16526.423828125,17108.40234375,17108.40234375,38886494645,17091.78480474253,19055.090959676454,15128.478649808603,3926.612309867851,981.6530774669627,0.5042320294686874,False,False,False,False
2020-11-28 00:00:00+00:00,17112.93359375,17853.939453125,16910.65234375,17717.4140625,17717.4140625,32601040734,17130.091199826573,19085.724161142105,15174.45823851104,3911.2659226310643,977.8164806577661,0.6501618336086803,False,False,False,False
2020-11-29 00:00:00+00:00,17719.634765625,18283.62890625,17559.1171875,18177.484375,18177.484375,31133957704,17213.581894089122,19118.5539030231,15308.609885155143,3809.944017867958,952.4860044669895,0.7529964945391184,False,False,False,False
2020-11-30 00:00:00+00:00,18178.322265625,19749.263671875,18178.322265625,19625.8359375,19625.8359375,47728480399,17401.28590020762,19430.116567623198,15372.455232792037,4057.6613348311603,1014.4153337077901,1.0,False,False,False,False
2020-12-01 00:00:00+00:00,19633.76953125,19845.974609375,18321.921875,18802.998046875,18802.998046875,49633658712,17552.62040276721,19683.378550316233,15421.862255218188,4261.516295098045,1065.3790737745112,0.7934114426703189,False,False,False,False
2020-12-02 00:00:00+00:00,18801.744140625,19308.330078125,18347.71875,19201.091796875,19201.091796875,37387697139,17685.930860440174,19795.735458859293,15576.126262021053,4219.609196838241,1054.9022992095602,0.859076129033499,False,False,False,False
2020-12-03 00:00:00+00:00,19205.92578125,19566.19140625,18925.78515625,19445.3984375,19445.3984375,31930317405,17840.838238810953,19867.74362738816,15813.932850233745,4053.8107771544164,1013.4526942886041,0.8958152678787272,False,False,False,False
2020-12-04 00:00:00+00:00,19446.966796875,19511.404296875,18697.193359375,18699.765625,18699.765625,33872388058,17948.325494836892,19935.38253205638,15961.268457617403,3974.1140744389777,993.5285186097444,0.6890836840835245,False,False,False,False
2020-12-05 00:00:00+00:00,18698.384765625,19160.44921875,18590.193359375,19154.23046875,19154.23046875,27242455064,18045.465068245285,19947.867573617823,16143.062562872745,3804.805010745078,951.2012526862695,0.7914118850699241,False,False,False,False
2020-12-06 00:00:00+00:00,19154.1796875,19390.5,18897.89453125,19345.12109375,19345.12109375,25293775714,18156.484764126686,19967.168112711974,16345.8014155414,3621.3666971705734,905.3416742926433,0.8282286575816837,False,False,False,False
2020-12-07 00:00:00+00:00,19343.12890625,19411.828125,18931.142578125,19191.630859375,19191.630859375,26896357742,18253.791026670177,19979.543149771933,16528.03890356842,3451.5042462035126,862.8760615508781,0.7717191594755828,False,False,False,False
2020-12-08 00:00:00+00:00,19191.529296875,19283.478515625,18269.9453125,18321.14453125,18321.14453125,31692288756,18289.130559348414,20045.014110764994,16533.247007931834,3511.7671028331606,877.9417757082902,0.5091162001818852,False,False,False,False
2020-12-09 00:00:00+00:00,18320.884765625,18626.29296875,17935.546875,18553.916015625,18553.916015625,34420373071,18297.015136533486,20015.459551558408,16578.570721508564,3436.888830049844,859.222207512461,0.5747480910192223,False,False,False,False
2020-12-10 00:00:00+00:00,18553.298828125,18553.298828125,17957.064453125,18264.9921875,18264.9921875,25547132265,18293.34243999855,19959.31272602098,16627.372153976117,3331.940572044863,832.9851430112158,0.49149136910291596,False,False,True,False
